surface	148.5	[81, 52, 56, 61]
surface	148.75	[79, 52, 56, 61]
grouping	153.0	[72, 76, 79]
surface	153.0	[76, 64]
surface	155.0	[76, 64]
surface	155.5	[74, 62]
surface	156.0	[71, 59]
surface	156.5	[74, 62]
surface	157.0	[76, 64]
surface	157.5	[74, 62]
surface	158.0	[74, 62]
surface	158.5	[71, 59]
surface	159.0	[71, 59]
surface	160.0	[71, 62, 64, 67, 59, 50, 52, 55]
reduction	160.0	[71, 62, 64, 67, 59, 50, 52, 55]
grouping	160.5	[72]
surface	161.0	[62, 64, 67, 71, 50, 52, 55, 59]
surface	163.0	[62, 64, 67, 71, 50, 52, 55, 59]
surface	164.0	[76, 62, 64, 67, 64, 50, 52, 55]
reduction	164.0	[76, 62, 64, 67, 64, 50, 52, 55]
surface	165.0	[62, 64, 67, 76, 50, 52, 55, 64]
surface	166.0	[76, 62, 64, 67, 64, 50, 52, 55]
reduction	166.0	[71, 76, 62, 64, 67, 59, 64, 50, 52, 55]
surface	166.5	[74, 62, 64, 67, 62, 50, 52, 55]
surface	167.0	[71, 59]
surface	167.5	[74, 62]
surface	168.0	[76, 64]
reduction	168.0	[69, 76, 57, 64]
surface	168.5	[74, 62]
surface	169.0	[71, 59]
surface	169.5	[69, 57]
surface	170.0	[69, 57]
surface	171.0	[69, 59, 64, 67, 57, 47, 52, 55]
reduction	171.0	[69, 59, 64, 67, 57, 47, 52, 55]
grouping	171.5	[72]
surface	172.0	[59, 64, 67, 69, 47, 52, 55, 57]
surface	174.0	[59, 64, 67, 69, 47, 52, 55, 57]
surface	175.0	[71, 59, 64, 67, 59, 47, 52, 55]
reduction	175.0	[71, 59, 64, 67, 59, 47, 52, 55]
surface	176.0	[59, 64, 67, 71, 47, 52, 55, 59]
surface	177.0	[71, 59, 64, 67, 59, 47, 52, 55]
reduction	177.0	[71, 76, 59, 64, 67, 59, 64, 47, 52, 55]
surface	177.5	[69, 59, 64, 67, 57, 47, 52, 55]
surface	178.0	[71, 59]
surface	178.5	[76, 64]
surface	179.0	[74, 62]
reduction	179.0	[64, 67, 71, 52, 55, 59]
surface	179.5	[71, 59]
surface	180.0	[67, 55]
surface	180.5	[64, 52]
surface	181.0	[64, 52]
surface	182.0	[64, 55, 59, 62, 52, 43, 47, 50]
reduction	182.0	[64, 55, 59, 62, 52, 43, 47, 50]
grouping	182.5	[72]
surface	183.0	[55, 59, 62, 64, 43, 47, 50, 52]
surface	185.0	[55, 59, 62, 64, 43, 47, 50, 52]
surface	186.0	[71, 55, 59, 62, 59, 43, 47, 50]
reduction	186.0	[71, 55, 59, 62, 59, 43, 47, 50]
surface	187.0	[55, 59, 62, 71, 43, 47, 50, 59]
surface	188.0	[71, 55, 59, 62, 59, 43, 47, 50]
reduction	188.0	[71, 74, 55, 59, 62, 59, 62, 43, 47, 50]
surface	188.5	[69, 55, 59, 62, 57, 43, 47, 50]
surface	189.0	[71, 59]
surface	189.5	[74, 62]
surface	190.0	[71, 59]
reduction	190.0	[67, 71, 55, 59]
surface	190.5	[69, 57]
surface	191.0	[67, 55]
surface	192.0	[64, 52]
reduction	192.0	[64, 55, 59, 52, 40, 47, 50]
surface	193.0	[64, 52]
surface	194.0	[55, 59, 64, 40, 47, 50, 52]
surface	195.0	[64, 55, 59, 52, 40, 47, 50]
reduction	195.0	[64, 55, 59, 52, 40, 47, 50]
surface	198.0	[79, 83, 86, 88, 64, 71, 74]
reduction	198.0	[79, 83, 86, 88, 64, 71, 74]
